# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
1               	DILUPBiCGStab	1.00000000e+00	2.54518590e-03	1	1.00000000e+00	2.74185770e-05	1	false	DILUPBiCGStab	1.00000000e+00	3.22704660e-04	1	true	GAMG	1.00000000e+00	8.94202640e-03	23	true	DILUPBiCGStab	1.70142480e-01	5.99994810e-06	1	true
2               	DILUPBiCGStab	4.59254410e-01	2.22117990e-03	1	1.79314960e-01	1.38684040e-03	1	false	DILUPBiCGStab	8.54241990e-01	4.54866600e-04	1	true	GAMG	3.13828390e-03	3.01208610e-05	213	true	DILUPBiCGStab	5.31142900e-03	1.57479710e-06	1	true
3               	DILUPBiCGStab	3.51806000e-01	1.62108270e-03	1	1.55908610e-01	1.10001010e-03	1	false	DILUPBiCGStab	2.71307280e-01	1.51043550e-04	1	true	GAMG	3.71582510e-03	3.62157210e-05	181	true	DILUPBiCGStab	2.05690390e-04	2.13112110e-06	1	true
4               	DILUPBiCGStab	1.90932450e-01	1.12806300e-03	1	1.17468630e-01	8.08689210e-04	1	false	DILUPBiCGStab	9.63930770e-02	7.32503360e-05	1	true	GAMG	5.65371680e-03	5.33516970e-05	218	true	DILUPBiCGStab	7.29653350e-04	1.47034730e-06	1	true
5               	DILUPBiCGStab	1.61913840e-01	9.27652590e-04	1	1.26729760e-01	8.13535580e-04	1	false	DILUPBiCGStab	1.51142910e-02	9.30307220e-05	1	true	GAMG	1.29368940e-02	1.20837960e-04	197	true	DILUPBiCGStab	4.70159650e-04	1.36298420e-06	1	true
6               	DILUPBiCGStab	1.89350230e-01	1.19323400e-03	1	1.08089020e-01	6.95718540e-04	1	false	DILUPBiCGStab	3.98593690e-02	7.21857350e-05	1	true	GAMG	5.29782370e-03	5.08011810e-05	222	true	DILUPBiCGStab	7.30203220e-04	1.38946300e-06	1	true
7               	DILUPBiCGStab	1.33647410e-01	9.32215440e-04	1	1.14654230e-01	7.31475450e-04	1	false	DILUPBiCGStab	6.53647130e-02	8.48892140e-05	1	true	GAMG	5.34271470e-03	5.10889310e-05	187	true	DILUPBiCGStab	8.58767870e-04	1.29500420e-06	1	true
8               	DILUPBiCGStab	6.70717030e-02	4.22305870e-04	1	1.16246850e-01	8.46791990e-04	1	false	DILUPBiCGStab	8.01650960e-02	1.20456130e-04	1	true	GAMG	1.41438450e-02	1.41356050e-04	198	true	DILUPBiCGStab	8.90532250e-04	1.30543480e-06	1	true
9               	DILUPBiCGStab	5.11411360e-02	3.02929270e-04	1	1.21170780e-01	8.46317860e-04	1	false	DILUPBiCGStab	8.71903530e-02	1.54187360e-04	1	true	GAMG	2.88890910e-02	2.54436900e-04	204	true	DILUPBiCGStab	8.60784150e-04	1.21745550e-06	1	true
10              	DILUPBiCGStab	3.31763310e-02	2.12558670e-04	1	9.81452970e-02	7.75066530e-04	1	false	DILUPBiCGStab	8.90004500e-02	1.95545390e-04	1	true	GAMG	1.25900500e-02	1.10593050e-04	222	true	DILUPBiCGStab	8.02099110e-04	1.16380300e-06	1	true
