# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
5001            	DILUPBiCGStab	4.30983490e-05	1.99218310e-07	1	1.25231490e-03	9.83689170e-06	1	false	DILUPBiCGStab	1.28058190e-04	1.73498290e-06	1	true	GAMG	2.51517160e-02	2.28946140e-04	3	true	DILUPBiCGStab	2.16292050e-06	4.70638730e-11	1	true
5002            	DILUPBiCGStab	4.30040220e-05	1.99845680e-07	1	8.25717280e-04	5.45425470e-06	1	false	DILUPBiCGStab	1.27842910e-04	1.73219980e-06	1	true	GAMG	1.77941950e-02	1.30797010e-04	5	true	DILUPBiCGStab	2.16276970e-06	4.70506860e-11	1	true
5003            	DILUPBiCGStab	4.28193240e-05	1.99339820e-07	1	6.86984610e-04	4.48574760e-06	1	false	DILUPBiCGStab	1.27724380e-04	1.73071450e-06	1	true	GAMG	1.12473320e-02	9.76480850e-05	5	true	DILUPBiCGStab	2.16258830e-06	4.70582130e-11	1	true
5004            	DILUPBiCGStab	4.52789560e-05	2.61039080e-07	1	9.67928380e-04	6.00243800e-06	1	false	DILUPBiCGStab	1.27411230e-04	1.72663290e-06	1	true	GAMG	8.07113190e-03	6.31708730e-05	7	true	DILUPBiCGStab	2.16221580e-06	4.70764390e-11	1	true
5005            	DILUPBiCGStab	4.45772720e-05	2.24103750e-07	1	8.16600420e-04	4.69626730e-06	1	false	DILUPBiCGStab	1.27819830e-04	1.73236750e-06	1	true	GAMG	5.79742660e-03	4.66130000e-05	7	true	DILUPBiCGStab	2.16302410e-06	4.70955230e-11	1	true
5006            	DILUPBiCGStab	4.34701380e-05	2.05653720e-07	1	6.75567230e-04	3.61000730e-06	1	false	DILUPBiCGStab	1.28078630e-04	1.73610320e-06	1	true	GAMG	4.14505790e-03	3.35958900e-05	7	true	DILUPBiCGStab	2.16350580e-06	4.71016320e-11	1	true
5007            	DILUPBiCGStab	4.31218170e-05	2.01131290e-07	1	5.73652620e-04	3.69817050e-06	1	false	DILUPBiCGStab	1.27988360e-04	1.73508750e-06	1	true	GAMG	3.43863140e-03	2.93589380e-05	9	true	DILUPBiCGStab	2.16345520e-06	4.71282310e-11	1	true
5008            	DILUPBiCGStab	4.30669450e-05	1.99931750e-07	1	5.15169560e-04	3.11312750e-06	1	false	DILUPBiCGStab	1.28049820e-04	1.73612850e-06	1	true	GAMG	2.80591620e-03	1.69828170e-05	9	true	DILUPBiCGStab	2.16367890e-06	4.71072850e-11	1	true
5009            	DILUPBiCGStab	4.30260020e-05	2.00739360e-07	1	5.27206130e-04	2.93435680e-06	1	false	DILUPBiCGStab	1.28028760e-04	1.73596270e-06	1	true	GAMG	2.31910590e-03	2.18173780e-05	8	true	DILUPBiCGStab	2.16391490e-06	4.71260560e-11	1	true
5010            	DILUPBiCGStab	4.31398230e-05	2.01295760e-07	1	5.08715440e-04	2.82148070e-06	1	false	DILUPBiCGStab	1.27974580e-04	1.73535630e-06	1	true	GAMG	2.09003450e-03	2.07905340e-05	8	true	DILUPBiCGStab	2.16407310e-06	4.71247880e-11	1	true
5011            	DILUPBiCGStab	4.53158000e-05	2.48187380e-07	1	6.58404150e-04	3.79298710e-06	1	false	DILUPBiCGStab	1.27742010e-04	1.73229650e-06	1	true	GAMG	2.66084140e-03	1.57087740e-05	11	true	DILUPBiCGStab	2.16404320e-06	4.71205110e-11	1	true
5012            	DILUPBiCGStab	4.38332390e-05	2.02693070e-07	1	4.93163820e-04	2.63638820e-06	1	false	DILUPBiCGStab	1.27851380e-04	1.73388880e-06	1	true	GAMG	1.57975010e-03	1.20329260e-05	7	true	DILUPBiCGStab	2.16440670e-06	4.71464130e-11	1	true
5013            	DILUPBiCGStab	4.34928530e-05	2.01684830e-07	1	5.48748090e-04	3.28308190e-06	1	false	DILUPBiCGStab	1.27728970e-04	1.73233310e-06	1	true	GAMG	1.67485110e-03	9.99716990e-06	11	true	DILUPBiCGStab	2.16434840e-06	4.71493050e-11	1	true
5014            	DILUPBiCGStab	4.32398680e-05	2.00467420e-07	1	4.53561690e-04	3.15580570e-06	1	false	DILUPBiCGStab	1.27694230e-04	1.73199970e-06	1	true	GAMG	1.61614920e-03	1.44741330e-05	11	true	DILUPBiCGStab	2.16445210e-06	4.71536870e-11	1	true
5015            	DILUPBiCGStab	4.31324500e-05	2.00274450e-07	1	4.92965230e-04	3.50279660e-06	1	false	DILUPBiCGStab	1.27624650e-04	1.73114810e-06	1	true	GAMG	1.31342210e-03	1.02951580e-05	9	true	DILUPBiCGStab	2.16449160e-06	4.71553940e-11	1	true
5016            	DILUPBiCGStab	4.29764790e-05	2.01426340e-07	1	6.25053150e-04	4.11550760e-06	1	false	DILUPBiCGStab	1.27351740e-04	1.72757730e-06	1	true	GAMG	1.16766130e-03	1.00417370e-05	9	true	DILUPBiCGStab	2.16421250e-06	4.71570360e-11	1	true
5017            	DILUPBiCGStab	4.29965770e-05	2.00407950e-07	1	6.00955820e-04	3.88557920e-06	1	false	DILUPBiCGStab	1.27369970e-04	1.72782100e-06	1	true	GAMG	1.18304030e-03	1.12677740e-05	10	true	DILUPBiCGStab	2.16443040e-06	4.71710720e-11	1	true
5018            	DILUPBiCGStab	4.28978710e-05	1.99282070e-07	1	5.56395240e-04	4.01746480e-06	1	false	DILUPBiCGStab	1.27259580e-04	1.72629260e-06	1	true	GAMG	1.27993560e-03	1.27970960e-05	7	true	DILUPBiCGStab	2.16440050e-06	4.71696170e-11	1	true
